9|600770
9|584872
9|247563
15|349388
15|142902
15|211628
15|316249
19|563776
19|368829
51|600770
51|584872
51|247563
53|178912
60|85012
60|223467
60|188491
60|365536
66|523223
66|393059
66|245730
66|31803
66|178912
78|531386
78|425562
78|429826
78|283375
84|257158
84|342497
87|123601
87|17863
87|174146
87|533243
87|498243
87|173264
87|502542
87|269133
87|370875
90|600770
90|584872
90|247563
90|240866
90|433099
93|211566
95|600770
95|247563
95|313039
110|393059
110|57691
110|178912
117|393059
117|178912
128|85012
130|211566
133|393059
133|17863
133|174146
133|378550
133|269133
133|53250
133|195244
133|370875
133|532850
139|223467
150|393059
150|174146
150|88858
150|528438
155|393059
155|582591
155|174146
155|33053
155|178912
158|523223
158|147073
158|123601
158|36870
158|441199
158|269133
158|370875
159|57691
159|88366
159|178912
175|61453
178|393059
178|582591
178|389703
181|475026
181|136770
181|116439
186|349388
198|411039
218|257158
218|211566
218|393059
232|147073
234|393059
234|88858
234|317570
234|533243
241|216505
277|211566
277|88858
284|393059
284|245730
284|368829
288|422597
290|422597
291|393059
291|582591
291|319294
294|531386
294|36870
294|418824
298|393059
298|57691
301|422597
309|393059
331|393059
331|17863
331|174146
331|146316
331|533243
331|479089
331|502542
331|269133
331|58847
331|124268
331|370875
331|592506
338|393059
338|33053
341|386887
355|178912
390|349388
390|147073
390|531386
390|211628
390|303996
390|257442
390|429826
390|418824
390|399447
396|257158
396|403831
396|45966
396|76308
396|342497
396|221469
396|269133
396|405387
396|559314
396|370875
400|531386
400|184751
400|283375
406|368829
408|393059
408|17863
408|69314
408|14741
408|407584
411|319294
412|174146
412|88858
412|245730
412|20638
412|178912
430|123601
430|17863
430|174146
430|606585
430|111468
430|533243
430|502542
430|269133
430|376233
430|370875
430|592506
432|582591
447|393059
447|17863
447|174146
447|58847
447|124268
448|349388
454|17863
454|69314
454|269133
454|370875
461|257158
461|393059
461|17863
461|185292
494|85012
495|393059
495|582591
495|245730
495|178912
504|147073
504|36870
504|370875
505|319294
513|147073
513|123601
513|88858
513|569105
513|290321
513|111468
513|533243
513|498243
513|157804
513|280686
513|481363
513|53250
513|532850
520|178912
522|368829
536|393059
540|393059
540|569105
566|57422
590|283375
592|393059
592|17863
592|174146
607|513664
607|44527
609|123601
609|88858
628|88858
628|528438
628|178912
655|531386
655|211628
660|159199
665|147073
677|523223
677|147073
677|146316
677|173264
679|147073
679|368829
679|178912
684|600770
684|134616
688|327139
712|147073
712|88858
712|221071
712|111468
733|147073
746|393059
749|393059
749|174146
749|88858
749|178912
755|393059
755|154265
756|418824
759|147073
759|515910
760|523223
763|17863
763|174146
763|58847
772|600770
772|584872
772|542244
772|240866
772|361525
772|244600
778|419241
781|393059
781|245730
781|178912
785|257442
785|418824
793|393059
793|17863
793|531704
793|502542
796|475026
799|85012
799|411039
834|216505
845|513628
845|585943
845|283375
845|418824
867|393059
877|319294
882|403831
882|555644
882|405387
883|393059
883|245730
893|531386
893|19484
893|283375
903|17863
905|211566
928|147073
928|454552
930|245730
931|17863
931|245730
931|157804
931|178912
931|280686
934|600770
934|584872
934|247563
934|433099
936|17863
936|582591
936|389703
936|207040
936|502542
936|58847
952|88858
952|245730
952|57691
952|454552
955|216505
973|600770
973|542244
974|393059
975|393059
975|88858
978|216505
978|211566
978|393059
978|174146
978|73761
991|582591
991|178912
997|257158
997|555644
997|342497
998|147073
1015|147073
1016|147073
1016|17863
1016|88858
1019|85012
1019|61453
1032|257158
1032|403831
1041|147073
1054|257158
1054|76308
1054|342497
